Date;Code_port;Nom_port;Nombre_passagers
2017-05;FRROS;ROSCOFF;54113
2017-06;FRROS;ROSCOFF;77216
2017-09;FRROS;ROSCOFF;63770
2018-03;FRROS;ROSCOFF;19707
2018-04;FRROS;ROSCOFF;40909
2018-05;FRROS;ROSCOFF;65383
2018-07;FRROS;ROSCOFF;96399
2019-02;FRROS;ROSCOFF;9392
2019-06;FRROS;ROSCOFF;53458
2019-07;FRROS;ROSCOFF;65383
2019-10;FRROS;ROSCOFF;33564
2019-11;FRROS;ROSCOFF;9468
2019-12;FRROS;ROSCOFF;11199
2020-01;FRROS;ROSCOFF;2626
2020-02;FRROS;ROSCOFF;6953
2020-03;FRROS;ROSCOFF;5112
2020-09;FRROS;ROSCOFF;4868
2020-10;FRROS;ROSCOFF;4923
2020-11;FRROS;ROSCOFF;82
2021-05;FRROS;ROSCOFF;123
2021-08;FRROS;ROSCOFF;15133
2021-09;FRROS;ROSCOFF;13941
2021-10;FRROS;ROSCOFF;14268
2022-07;FRROS;ROSCOFF;64610
2022-11;FRROS;ROSCOFF;3393
2017-01;FRSML;SAINT-MALO;19869
2017-03;FRSML;SAINT-MALO;34706
2017-08;FRSML;SAINT-MALO;147165
2017-11;FRSML;SAINT-MALO;27798
2018-01;FRSML;SAINT-MALO;16025
2018-04;FRSML;SAINT-MALO;67484
2018-12;FRSML;SAINT-MALO;28641
2019-03;FRSML;SAINT-MALO;33884
2019-08;FRSML;SAINT-MALO;141168
2019-09;FRSML;SAINT-MALO;78183
2019-10;FRSML;SAINT-MALO;52841
2019-11;FRSML;SAINT-MALO;25393
2020-04;FRSML;SAINT-MALO;0
2020-07;FRSML;SAINT-MALO;14051
2020-09;FRSML;SAINT-MALO;3882
2020-10;FRSML;SAINT-MALO;1404
2020-11;FRSML;SAINT-MALO;482
2021-02;FRSML;SAINT-MALO;163
2021-03;FRSML;SAINT-MALO;125
2021-04;FRSML;SAINT-MALO;6659
2021-07;FRSML;SAINT-MALO;83349
2021-10;FRSML;SAINT-MALO;48992
2021-12;FRSML;SAINT-MALO;10709
2022-02;FRSML;SAINT-MALO;7365
2022-04;FRSML;SAINT-MALO;41023
2017-01;FRROS;ROSCOFF;1529
2022-06;FRSML;SAINT-MALO;51140
2017-02;FRROS;ROSCOFF;8182
2022-07;FRSML;SAINT-MALO;74545
2017-04;FRROS;ROSCOFF;47667
2022-08;FRSML;SAINT-MALO;103730
2017-07;FRROS;ROSCOFF;89642
2022-09;FRSML;SAINT-MALO;51740
2017-08;FRROS;ROSCOFF;112129
2022-12;FRSML;SAINT-MALO;36762
2017-11;FRROS;ROSCOFF;6603
2017-12;FRROS;ROSCOFF;7798
2018-01;FRROS;ROSCOFF;1936
2018-06;FRROS;ROSCOFF;83029
2018-08;FRROS;ROSCOFF;127424
2018-09;FRROS;ROSCOFF;60249
2018-11;FRROS;ROSCOFF;5120
2019-03;FRROS;ROSCOFF;19154
2019-04;FRROS;ROSCOFF;42159
2019-08;FRROS;ROSCOFF;96904
2019-09;FRROS;ROSCOFF;50297
2020-04;FRROS;ROSCOFF;0
2020-06;FRROS;ROSCOFF;544
2020-08;FRROS;ROSCOFF;22640
2021-02;FRROS;ROSCOFF;152
2021-03;FRROS;ROSCOFF;160
2021-11;FRROS;ROSCOFF;0
2021-12;FRROS;ROSCOFF;0
2022-01;FRROS;ROSCOFF;0
2022-03;FRROS;ROSCOFF;2220
2022-05;FRROS;ROSCOFF;33950
2022-09;FRROS;ROSCOFF;45734
2022-12;FRROS;ROSCOFF;11
2017-02;FRSML;SAINT-MALO;26758
2017-05;FRSML;SAINT-MALO;72933
2017-06;FRSML;SAINT-MALO;88312
2017-07;FRSML;SAINT-MALO;110325
2017-09;FRSML;SAINT-MALO;82470
2017-10;FRSML;SAINT-MALO;51731
2018-02;FRSML;SAINT-MALO;23079
2018-03;FRSML;SAINT-MALO;43485
2018-06;FRSML;SAINT-MALO;92981
2018-07;FRSML;SAINT-MALO;110138
2018-08;FRSML;SAINT-MALO;148961
2018-10;FRSML;SAINT-MALO;51650
2019-06;FRSML;SAINT-MALO;87431
2019-12;FRSML;SAINT-MALO;27963
2020-01;FRSML;SAINT-MALO;17222
2020-05;FRSML;SAINT-MALO;0
2020-08;FRSML;SAINT-MALO;27656
2020-12;FRSML;SAINT-MALO;977
2021-01;FRSML;SAINT-MALO;485
2021-06;FRSML;SAINT-MALO;28035
2021-11;FRSML;SAINT-MALO;21822
2022-05;FRSML;SAINT-MALO;39542
2017-03;FRROS;ROSCOFF;16772
2017-10;FRROS;ROSCOFF;31727
2018-02;FRROS;ROSCOFF;5573
2018-10;FRROS;ROSCOFF;34165
2018-12;FRROS;ROSCOFF;7894
2019-01;FRROS;ROSCOFF;0
2019-05;FRROS;ROSCOFF;39127
2020-05;FRROS;ROSCOFF;0
2020-07;FRROS;ROSCOFF;18764
2020-12;FRROS;ROSCOFF;0
2021-01;FRROS;ROSCOFF;0
2021-04;FRROS;ROSCOFF;100
2021-06;FRROS;ROSCOFF;979
2021-07;FRROS;ROSCOFF;6064
2022-02;FRROS;ROSCOFF;0
2022-04;FRROS;ROSCOFF;35058
2022-06;FRROS;ROSCOFF;44531
2022-08;FRROS;ROSCOFF;77461
2022-10;FRROS;ROSCOFF;29972
2017-04;FRSML;SAINT-MALO;74222
2017-12;FRSML;SAINT-MALO;28969
2018-05;FRSML;SAINT-MALO;84076
2018-09;FRSML;SAINT-MALO;85942
2018-11;FRSML;SAINT-MALO;29963
2019-01;FRSML;SAINT-MALO;19190
2019-02;FRSML;SAINT-MALO;24595
2019-04;FRSML;SAINT-MALO;71293
2019-05;FRSML;SAINT-MALO;75303
2019-07;FRSML;SAINT-MALO;103752
2020-02;FRSML;SAINT-MALO;19969
2020-03;FRSML;SAINT-MALO;10213
2020-06;FRSML;SAINT-MALO;0
2021-05;FRSML;SAINT-MALO;26001
2021-08;FRSML;SAINT-MALO;132723
2021-09;FRSML;SAINT-MALO;62193
2022-01;FRSML;SAINT-MALO;1260
2022-03;FRSML;SAINT-MALO;15691
2022-10;FRSML;SAINT-MALO;39204
2022-11;FRSML;SAINT-MALO;18678
